target,model,auc_mean,auc_std,acc_mean,acc_std
Player Survival,Baseline (role+model),0.6357434853845223,0.008239566650876445,0.5988506153212036,0.008648254851648579
Player Survival,Vote cast only,0.8632811717881781,0.01050432281866121,0.7944573415920665,0.009953615376181278
Player Survival,Speech only,0.878836286816773,0.009160676555523294,0.8097113812104325,0.012480368504245205
Player Survival,Role action only,0.7019941025207546,0.007450892855489595,0.6283998609615308,0.01140989812839819
Player Survival,All features (Model 4),0.8881011270855034,0.007310792478779195,0.8204324628233547,0.007526635947847114
Player's Team Win,Baseline (role+model),0.6791908683694401,0.006046501710075607,0.697350025547369,0.0047012393923387165
Player's Team Win,Vote cast only,0.6967760319713296,0.006545814798699749,0.6981344912274704,0.0013867376409340928
Player's Team Win,Speech only,0.7450623587385804,0.00397317718013371,0.69865786089695,0.003911902404086767
Player's Team Win,Role action only,0.7871102686423735,0.004837465018258531,0.7167885912477943,0.00875365129643071
Player's Team Win,All features (Model 4),0.8005809161983068,0.006569924525783431,0.7318700484165379,0.008545681530107204
