game_id,winner_team,last_day,n_players,end_reason,villager_votes_cast,villager_votes_received,villager_survived,seer_votes_cast,seer_votes_received,seer_survived,doctor_votes_cast,doctor_votes_received,doctor_survived,werewolf_votes_cast,werewolf_votes_received,werewolf_survived,seer_n_inspects,seer_inspect_success_rate,doctor_n_heals,doctor_heal_success_rate,werewolf_n_wolf_votes,wolf_day_consistency_rate,wolf_active_days
74788902,Villagers,2.0,8,Reason: All werewolves exiled.,3.0,1.0,0.75,2.0,5.0,0.0,4.0,0.0,1.0,4.5,9.0,0.0,2.0,1.0,2.0,0.0,1.5,1.0,2.0
74788904,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",2.5,3.5,0.5,4.0,6.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,0.5,2.0,0.0,2.0,1.0,2.0
74788934,Werewolves,4.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=1, len(villagers)=1).",5.0,2.75,0.25,2.0,14.0,0.0,4.0,3.0,0.0,8.0,7.0,0.5,1.0,1.0,3.0,0.3333333333333333,3.0,0.6666666666666666,3.0
74788967,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",3.0,4.0,0.5,2.0,12.0,0.0,4.0,2.0,0.0,7.0,1.0,1.0,1.0,0.0,3.0,0.3333333333333333,3.0,1.0,2.0
74788999,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",3.0,4.0,0.5,0.0,2.0,0.0,4.0,6.0,0.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0
74789000,Villagers,3.0,8,Reason: All werewolves exiled.,4.5,4.25,0.5,2.0,2.0,0.0,0.0,2.0,0.0,7.5,7.0,0.0,2.0,0.5,1.0,0.0,2.5,0.6666666666666666,3.0
74789096,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",3.0,4.0,0.5,4.0,2.0,0.0,4.0,12.0,0.0,7.0,2.0,1.0,3.0,0.6666666666666666,2.0,0.5,3.0,1.0,2.0
74789224,Villagers,3.0,8,Reason: All werewolves exiled.,2.5,4.5,0.25,6.0,5.0,1.0,6.0,2.0,1.0,7.5,6.0,0.0,3.0,0.3333333333333333,3.0,0.3333333333333333,2.5,1.0,3.0
74789286,Villagers,2.0,8,Reason: All werewolves exiled.,3.5,1.25,0.75,0.0,2.0,0.0,4.0,0.0,1.0,4.5,10.0,0.0,1.0,0.0,2.0,0.0,1.5,0.5,2.0
74789319,Villagers,2.0,8,Reason: All werewolves exiled.,3.5,0.25,0.75,4.0,4.0,1.0,0.0,2.0,0.0,4.5,10.0,0.0,2.0,0.5,1.0,0.0,1.5,0.5,2.0
